T,N,A,E,4,1,I,O,S,.,9,C,",",H,=,G,/,Y,3,J,5,W,M,K,Z,D,Q,F,L,U,R,0,B,2,?,P,6,X,7,V,8
0.784,0.885,0.044,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.419,0.100,0.440,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.581,0.001,0.666,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.261,0.180,1.441,0.873,2.761,1.060,1.660,0.395,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.523,1.348,0.578,1.738,2.210,2.164,0.521,0.155,0.370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.746,1.168,1.473,0.684,1.604,1.942,0.941,1.244,1.077,2.308,1.359,2.088,1.670,1.827,4.088,3.964,3.783,4.089,7.742,4.631,3.016,2.193,0.400,0.707,2.182,3.095,3.099,4.565,3.820,2.339,1.788,0.719,3.744,4.191,5.394,3.754,2.572,2.744,3.198,4.674,0.660
0.623,1.601,1.099,0.929,2.865,1.511,1.174,1.123,2.703,1.084,1.523,4.289,7.653,1.628,5.590,3.754,4.408,3.971,6.893,4.864,1.828,3.986,0.755,1.965,3.171,3.305,1.475,6.902,3.402,4.095,3.761,1.354,2.874,5.363,4.736,5.902,3.601,5.254,3.880,2.621,2.746
0.686,3.728,0.430,0.598,12.045,3.361,1.383,0.928,1.065,1.127,2.420,3.161,4.860,3.675,2.044,0.340,3.460,2.496,3.254,1.961,1.499,4.037,0.822,1.179,7.137,2.106,1.714,2.162,4.285,2.410,2.155,0.465,0.724,6.874,3.831,1.876,4.802,3.056,4.257,5.656,1.288
0.640,2.351,0.370,0.460,5.125,5.097,0.778,1.210,4.409,0.983,1.113,3.017,1.772,0.926,2.045,3.076,7.971,1.649,6.929,1.559,0.880,2.186,0.514,2.212,2.693,1.304,2.435,3.590,8.477,3.992,1.993,0.400,1.913,4.038,2.933,2.646,2.370,3.533,5.891,3.601,4.737
0.678,1.778,1.102,0.643,1.932,6.740,1.415,3.237,2.233,0.785,2.768,5.358,2.140,1.056,3.595,2.346,3.409,3.222,2.803,3.203,1.047,4.532,1.038,1.886,3.352,2.314,2.610,4.015,3.836,2.182,1.393,0.789,2.927,5.292,1.939,2.965,1.991,1.690,1.325,4.466,5.807
1.059,1.789,2.375,0.828,2.153,2.870,2.252,0.860,1.114,0.758,1.665,1.313,2.706,1.545,2.575,1.496,6.634,5.629,4.736,9.102,2.266,2.493,0.618,4.253,3.385,6.569,1.575,4.945,1.323,2.704,3.254,2.928,3.915,2.836,3.530,0.827,5.856,2.571,1.835,2.091,3.321
0.638,0.967,1.349,0.725,3.102,1.846,0.765,1.334,1.138,1.682,0.702,0.929,4.122,1.289,2.476,2.113,7.131,2.063,3.031,3.910,2.402,1.558,0.534,1.855,1.833,2.078,1.989,2.760,5.689,2.988,2.753,0.577,3.837,7.577,3.596,2.059,2.174,4.436,2.738,4.456,2.677
1.286,1.066,0.800,0.884,6.514,3.230,1.150,1.421,2.305,1.103,2.226,0.892,2.285,0.003,3.319,3.660,6.436,3.555,4.564,4.339,0.696,2.774,0.582,0.686,6.442,3.614,5.807,3.017,2.710,2.555,2.791,0.512,3.250,3.531,6.534,4.018,2.063,4.962,4.495,4.539,1.325
1.137,1.366,2.441,0.493,3.150,4.474,2.144,2.039,3.583,0.977,2.288,2.543,5.298,1.343,4.595,2.520,2.707,2.306,2.619,2.241,1.531,3.093,0.644,2.985,7.768,2.544,4.269,4.366,3.379,1.615,3.022,0.666,3.585,2.059,3.995,3.040,2.872,2.418,4.585,2.646,6.944
0.713,1.010,1.788,0.668,2.270,0.625,1.353,0.832,1.134,1.871,5.117,1.310,1.696,1.513,3.078,2.826,6.019,3.655,3.962,2.452,1.387,2.785,0.867,1.196,1.749,2.936,2.426,7.771,2.919,3.757,3.475,0.563,7.735,3.922,3.252,2.149,3.400,6.596,5.129,6.687,4.070
0.702,1.482,1.905,0.624,1.930,6.374,1.103,2.413,1.872,1.298,1.981,3.207,2.773,3.460,3.733,2.423,3.439,2.813,4.727,5.488,1.140,6.826,0.605,1.417,2.573,6.316,2.580,6.748,3.780,2.584,1.634,0.651,2.902,5.855,3.079,2.895,10.027,4.916,5.171,4.938,3.573
0.996,0.980,2.154,0.602,1.492,4.363,1.107,2.236,0.865,1.375,1.170,1.106,1.991,4.248,2.566,1.742,3.555,4.907,2.912,1.810,1.935,2.506,0.530,2.694,2.443,4.286,1.759,2.202,2.628,2.996,2.038,0.618,6.217,2.387,3.911,4.571,2.581,2.288,2.998,3.617,2.339
0.649,0.878,1.937,0.619,2.077,2.790,1.876,1.353,1.088,0.758,2.704,2.208,3.087,1.598,3.393,2.229,5.335,2.849,2.649,1.386,1.177,3.688,0.620,2.524,7.415,1.994,2.670,3.489,3.284,1.399,1.787,0.742,7.588,4.359,3.471,2.654,1.172,1.954,3.573,4.025,2.836
1.101,1.090,2.527,0.640,1.221,4.043,0.631,1.294,4.178,0.763,1.961,2.389,3.279,1.264,3.839,2.419,6.357,1.542,3.004,1.209,1.444,3.233,0.765,3.652,3.686,4.230,2.800,4.169,5.630,3.694,2.361,0.880,2.651,8.020,2.407,1.974,3.674,2.254,4.129,2.640,2.013
0.768,3.001,0.944,1.081,2.314,1.963,0.952,1.192,1.535,0.695,2.552,2.294,3.695,2.473,3.486,4.023,2.376,2.933,3.346,2.715,1.690,4.697,0.520,2.469,2.262,5.011,2.601,3.336,2.840,3.317,2.177,1.151,2.301,4.106,9.218,4.316,3.708,4.789,3.118,2.154,9.924
0.873,1.398,1.048,0.822,3.692,2.710,1.459,1.675,1.610,1.012,6.233,5.445,1.404,0.907,4.597,1.538,5.698,2.999,6.566,3.479,2.371,2.915,0.868,1.483,2.349,3.293,3.524,4.474,4.603,3.548,3.920,0.460,2.927,3.648,6.076,1.252,0.556,2.287,5.918,1.623,3.219
0.905,1.649,1.658,1.341,1.294,4.596,1.841,1.596,1.569,0.515,5.030,1.444,3.316,1.127,6.430,2.237,4.909,3.760,8.503,2.908,2.856,3.223,0.630,4.420,2.914,2.252,8.323,4.757,3.118,3.979,2.292,0.405,4.709,5.512,5.767,1.793,2.050,4.610,2.988,2.297,2.540
1.452,2.051,3.092,0.675,0.656,1.799,1.857,2.050,1.467,0.957,1.603,3.499,3.512,1.637,5.143,1.857,7.725,4.846,2.535,3.292,2.533,1.860,0.509,2.161,1.717,3.690,1.272,2.175,6.253,3.639,2.215,0.849,2.271,4.783,3.796,3.391,3.253,3.978,4.304,3.824,1.497
0.661,2.908,2.604,1.468,2.969,7.491,1.240,4.114,1.208,0.952,1.160,0.881,2.877,2.825,3.439,2.445,3.260,2.353,2.164,2.327,0.825,2.449,0.390,3.727,8.092,5.397,3.873,2.315,2.825,2.439,2.665,2.477,2.639,1.531,4.885,1.358,4.648,7.279,2.469,6.522,2.499
0.987,2.651,1.203,0.544,4.146,3.451,1.893,1.972,1.754,0.647,0.701,0.636,2.161,2.535,2.270,3.565,7.832,2.815,6.941,4.825,2.677,4.969,0.420,1.359,2.600,3.165,11.863,4.213,4.822,2.803,5.201,0.749,3.197,2.184,13.736,4.461,4.002,2.690,3.051,5.271,3.004
0.598,1.406,1.536,0.911,2.509,3.296,1.122,1.868,1.003,1.484,3.015,1.766,4.298,1.374,2.999,6.345,5.711,3.296,4.573,1.507,1.715,4.055,2.555,1.809,4.327,3.853,2.340,3.310,7.241,4.034,2.431,0.630,4.632,6.443,4.675,1.412,2.126,2.096,3.092,3.544,2.666
0.554,1.468,4.071,0.718,4.467,5.194,1.318,2.276,1.754,0.671,1.537,5.005,1.580,1.765,4.290,4.511,5.669,2.316,8.812,4.260,0.888,5.140,0.626,2.343,3.123,4.059,1.256,4.417,3.553,3.313,4.050,0.886,1.846,1.448,2.859,5.939,0.220,3.494,3.088,5.092,2.350
0.564,0.942,2.587,1.347,1.351,4.043,1.778,3.037,1.587,0.696,2.636,2.252,2.274,1.327,3.388,2.271,3.268,10.265,3.454,5.244,1.691,4.064,0.710,1.576,2.679,5.934,2.629,3.635,3.190,3.524,2.557,2.880,2.100,2.901,3.909,1.964,5.294,10.058,1.854,1.398,8.473
0.480,3.550,0.842,1.185,2.000,2.286,1.035,1.736,0.976,1.898,0.846,4.196,2.276,1.800,6.348,3.514,4.920,2.638,5.677,1.777,1.636,5.010,0.500,0.773,4.699,1.091,2.511,7.025,4.081,3.333,1.798,0.957,4.847,5.158,3.308,1.732,1.627,4.796,2.222,2.120,2.691
0.490,1.007,1.035,0.616,1.538,0.867,1.932,1.756,1.119,0.591,2.146,1.801,7.110,2.675,6.301,2.996,6.688,6.157,5.187,5.324,1.939,1.482,0.636,1.376,2.953,2.848,2.297,3.139,2.265,2.421,1.698,0.959,11.317,5.062,6.881,0.794,2.002,5.889,0.929,3.095,3.306
1.190,1.431,1.645,1.276,1.740,2.992,0.913,1.348,1.469,1.084,2.223,1.384,7.306,1.125,2.834,4.457,2.625,3.034,6.243,1.380,1.373,2.626,0.749,0.707,2.596,4.495,2.550,2.258,2.922,2.777,1.535,0.369,1.594,6.448,4.939,2.934,3.933,2.461,2.478,0.489,5.959
0.510,1.134,1.021,1.255,4.198,6.241,1.415,1.721,1.788,2.863,1.266,2.133,5.594,1.490,5.358,2.663,3.410,8.225,2.696,2.695,1.583,3.421,0.535,0.572,2.294,4.061,1.020,2.360,3.273,2.166,0.794,0.460,2.458,2.151,4.824,0.848,2.751,3.010,1.227,2.492,3.660
0.453,3.105,2.509,0.770,1.686,3.021,1.231,1.674,3.014,0.770,2.184,3.425,3.695,2.084,2.961,4.812,6.404,4.518,1.922,3.400,1.489,9.614,1.749,1.738,4.771,2.920,1.782,4.431,5.029,3.483,2.945,0.452,8.212,7.153,2.888,4.148,3.684,3.861,4.736,4.324,5.238
0.748,4.105,0.909,1.312,3.389,0.686,1.451,1.091,2.537,0.842,1.324,1.101,1.984,2.691,3.067,1.520,8.360,2.406,5.233,2.578,1.575,3.300,1.006,1.527,2.408,3.037,4.089,4.656,4.121,3.366,2.672,0.470,1.077,3.248,5.753,4.254,1.575,2.939,2.995,4.851,5.133
1.961,0.913,1.084,0.623,2.195,1.981,0.919,2.041,1.312,1.124,4.619,1.078,1.277,1.369,2.159,2.118,4.627,3.573,1.161,1.881,1.850,2.058,0.362,0.347,1.622,1.354,2.338,2.555,3.865,1.972,2.711,0.757,2.223,2.581,7.259,2.697,6.280,2.843,1.544,1.907,5.598
0.598,1.303,0.771,0.864,1.573,1.386,2.168,1.297,0.754,0.631,1.059,1.067,1.087,1.027,3.542,1.017,4.050,5.310,5.274,1.427,1.734,2.283,0.494,1.212,3.647,2.765,1.106,2.297,2.545,4.550,3.943,0.637,3.047,2.765,4.305,3.569,3.445,2.251,2.648,2.143,1.723
0.879,1.122,1.750,0.566,3.231,2.036,1.676,1.353,1.560,0.460,1.162,2.583,3.859,1.004,4.768,2.251,3.297,0.861,6.111,2.367,3.591,1.711,0.570,1.160,2.862,3.534,2.565,2.072,5.802,1.550,2.989,1.757,7.040,3.113,2.617,3.262,3.279,3.715,4.102,0.655,2.794
0.764,1.117,0.674,0.938,2.655,3.721,1.017,0.818,1.213,1.966,1.268,1.891,1.491,4.251,2.675,2.529,6.126,2.030,5.589,2.883,1.189,2.642,0.609,1.278,3.113,3.760,2.617,2.382,3.882,4.051,5.670,1.393,3.426,3.502,3.975,1.353,6.444,1.935,3.586,2.025,3.642
0.629,1.306,0.751,0.553,1.727,3.016,1.005,1.146,1.646,0.816,3.087,5.019,1.007,3.077,3.615,3.445,3.017,2.892,3.864,3.624,1.321,1.996,0.405,0.816,2.598,4.049,2.394,2.308,1.575,2.710,2.167,1.272,4.615,2.879,2.004,1.764,2.233,2.542,4.709,4.613,2.347
0.447,1.333,1.231,0.579,3.130,2.000,1.418,1.217,1.117,0.824,5.412,0.908,1.812,1.435,2.535,3.390,5.842,2.028,2.930,2.310,1.368,5.472,0.310,0.920,3.226,0.781,1.673,2.156,2.755,1.654,2.500,1.441,4.338,3.078,3.708,2.154,2.113,6.066,3.721,5.018,4.557
0.969,2.123,0.999,0.678,3.013,1.784,1.070,1.103,2.022,0.932,1.556,0.945,2.544,1.456,6.440,2.260,4.459,5.111,3.895,1.741,0.692,2.246,0.283,0.370,3.421,3.886,2.331,2.469,3.740,0.724,1.552,0.568,1.184,6.787,7.947,2.438,1.410,1.857,2.640,1.939,3.018
0.500,0.932,1.842,0.461,1.047,1.277,1.063,0.768,1.614,0.578,1.563,1.455,3.283,1.162,3.092,1.428,4.278,2.529,2.482,4.962,0.740,2.124,1.383,2.002,3.136,2.527,3.211,3.259,4.499,1.031,1.308,0.443,2.830,1.929,6.868,0.646,2.997,4.436,7.466,7.166,2.526
0.617,0.979,0.354,0.661,1.154,2.570,1.674,1.099,0.411,0.566,0.927,3.614,1.248,1.651,1.965,2.165,5.039,6.564,2.815,3.500,1.892,3.320,1.969,0.638,3.556,3.442,2.187,2.548,2.968,1.444,2.645,0.877,3.232,6.548,5.278,1.730,2.274,4.088,2.815,2.736,2.459
1.062,0.951,1.610,0.551,1.069,4.765,0.933,1.143,0.545,0.847,1.761,0.840,1.629,2.224,9.521,1.214,2.867,2.327,1.194,3.207,1.129,2.641,1.286,0.718,3.015,2.015,9.273,6.856,2.460,2.505,3.458,0.719,6.350,1.110,4.661,4.894,2.202,2.349,5.399,0.822,4.360
0.667,0.650,1.119,0.858,2.444,1.369,0.641,0.974,1.621,3.366,1.909,1.010,2.352,2.712,1.880,1.184,4.385,1.306,5.671,1.779,2.744,3.376,0.562,2.493,3.436,4.042,2.968,2.669,6.851,3.760,2.276,1.465,4.749,8.920,5.582,2.270,3.313,3.682,1.217,0.400,2.797
0.838,1.396,0.905,0.531,1.741,2.396,1.291,1.261,1.667,3.556,1.597,1.760,2.290,1.354,4.850,2.206,5.017,9.072,7.818,1.695,3.178,3.533,0.701,1.374,3.192,2.318,3.013,2.539,4.214,2.036,1.044,1.450,9.504,2.249,5.299,5.861,3.578,2.961,4.063,2.556,3.662
0.757,1.797,0.834,1.228,4.175,0.648,1.180,0.938,2.092,0.931,2.925,4.003,2.648,1.913,2.525,2.777,5.197,6.932,4.891,2.902,1.374,3.638,1.082,1.440,2.892,3.312,1.675,3.468,3.955,3.646,1.353,0.664,3.447,3.005,4.238,2.069,2.757,3.797,3.104,1.157,3.404
0.638,0.934,0.618,0.702,2.656,1.758,3.344,2.406,2.277,0.730,3.057,0.747,9.595,0.997,3.653,3.709,3.646,3.897,4.756,3.742,2.091,1.887,0.625,0.967,4.824,3.024,2.349,6.145,2.578,2.042,2.972,1.188,2.305,6.744,6.496,7.080,2.573,2.164,1.933,4.276,5.598
